Nederlands;Tilburgs
 krotwoning ; bedoeninkske
 kruid ; krööd, (mv krööje)
 kruid ; krèùd, (mv kruie)
 kruiden ; kruie
 kruidnagel seringen ; kröötnaogel, krötnaogel
 kruidnagels ; kruinaogels
 kruien ; krööje
 kruien ; kruie
 kruik ; kröök (vkw krökske)
 kruik ; krèùk
 kruikenstad ; kröökestat
 kruikenstad (Tilburg) ; kröökestad, krèùkestad
 kruikezeiker (spotnaam voor een Tilburger) ; kröökezèèker, krèùkezèèker
 kruikje ; krökske
" kruim; energie "; krèùm, krööm
 kruimel ; krömmel
 kruimel ; krummel
 kruimel (s) ; kriemel (s)
 kruin ; kröön (vkw kröntje)
 kruintje ; kröntje
 kruipen ; krööpe (tt kröpt, vt krôop)
 kruipen ; krööpe, krèùpe
 kruipen ; kröpe, krèùpe
 kruipen ; krèùpe, krööpe
 kruis ; mik
 kruis ; kröös (mv krööse, vkw kröske)
 kruis ; krèùs, kröös
 kruis of munt ; òbters òf mis, òbberes òf mis
 kruis of munt ; oppers òf lètters
 kruisbeeld ; krèùslievenheer, krööslievenheer
 kruisbes, (Grossularia ribesiaceae) ; knoezel, kroezel, kröösbeezie, kröösbeezem, krèùsbeezie,
krèùsbeezem;
 kruisbessen ; knoezels, kroezels
 kruisbessen ; kroezels
 kruisbessenstruik ; knoezelbos
 kruisheer, roofridder, bandiet ; krööshêer, krèùshêer
 kruishout, aftekenhaak voor timmerlui ; krööshaawt
 kruising ; kröösing
 kruisje ; kröske, krèùske
 kruit ; krööt, krèùt
 kruiwagen ; kreugel
 kruiwagen ; kröwaoge, kreugel
 kruiwagen ; kreugel / kröwoage
 kruiwagen ; kreugel
 kuieren ; gruitere
 kuieren, wandelen ; kööjere
 kuif ; kööf (vkw köfke)
 kuifje ; köfke
 kuifleeuwerik ; strontpikker
 kuifleeuwerik ; tuureluut, strontpikker
 kuiken (s) ; kööke (s)
 kuil ; kööl (vkw költje)
 kuiltje ; költje
 kuip ; kööp (vkw köpke)
 kuipje, hoofdje, kopje ; köpke
 kuis ; kèùs
 kuis, mooi ; köös
 kuit ; kööt (vkw kötje)
 kuit of hom? ; zaaiers of mölkers?
 kuitje ; kötje
 kun je beginnen ; kunde beginne
 Kunnen ; Kneizen
 kunnen ; kunne, (kos, gekund)
 kunstijsbaan ; kunsèèsbaon
 kunstmest ; kunsmis
 kunstmeststrooier ; kunsmisspraajer
 kurk ; körrek
 kurkdroog ; hòrsdrêûg
 kwaad ; kaod
 kwaad worden (ww) ; rèèje (tt rèj, vt reej) (ww)
 kwaad zijn ; em rije
 kwaad, boos ; kaot (kaojer, kaotst - kwader, kwaadst)
 Kwaadeind (buurt in Tilburg) ; Kedènd, Kedènt
 kwaadheid ; kòjjeghèt, kòjjeghèj, kaojeghèt, kaojeghèj, (mv kòjjegheeje, kaojegheeje)
 kwaadheid, ondeugendheid ; kaojeghèt, kaojeghèj, kòjjeghèt, kòjjeghèj
 kwaal ; kwaol (vkw kwòltje)
 kwaaltje ; kwòltje
 kwade ; kaoj (e)
 kwade ; koaj
 kwader, bozer ; kaojer
 kwajongen, vlegel, lummel, ondeugd ; kaojjonge, kwòjonge (mv kaojjong, kwòjong, vkw kaojjungske,
kwòjungske);
 kwajongen, vlegel, lummel, deugniet ; kwòjonge, kaojjonge (mv kwòjong, kaojjong, vkw kwòjungske,
kaojjungske);
 kwaken ; kwaoke
 kwakzalver ; kokedôores
 kwalijk ; kwòlek, kwòllek
 kwam ; kwaam (p)
 kwartel (Coturnix coturnix) ; kiekemedie, kiekemeda
 kwartel (Coturnix coturnix) ; kwakkel
 kwartier ; ketîêr, (vkw ketierke)
 kwast ; kwaast
 kwebbelen ; brèbbele
 kwijl ; kwèl
 kwijlen ; kwèèle (tt kwèlt)
 kwijnen ; kwèène, (tt kwènt, vt kwènde)
 kwijt ; kwêt
 l a n s ; l a a n s
 la ; schuif / loaj
 la ; schèùf
 la (de) in een kast ; schèùf
 la, lade ; laoj
 laag ; lêeg, (lêeger, lêegst - lager, laagst)
 laag ; laog (vkw lògske)
 laag vette room ; zaon (vergelijk Duits: Sahne)
 laagje ; lògske
 laagte ; lêegt (e)
 laan ; laon (vkw lòntje)
 laantje ; lòntje
 laars ; lèèrs (mv lèèrze vkw lèrske)
 laarsje ; lèrske
 laarzen ; lèèrze
 laat ; laot
 laat in de middag ; taatemiddag
 laatje ; schöfke
 laatst ; list
 laatst (e) ; list (e), lèst (e)
 laatst (e) ; lèst (e), list (e)
 lach ; laag
 lachen ; laage
 lacherig meisje ; giebergèèt
 ladder ; leer (vkw lirke)
 laddertje ; traplirke
 lade ; schèùf
 lade (aanrechtblok) ; de schùif
 laden (ww) ; laoje
 ladenkast ; laojkaast
 Lage Mierde ; Lêegemierd
 lagere arbeider in de textielindustrie, duivelaar ; vèthòl
 laken, geweven wollen stof ; laoke
 lamlendig ; kôojlam
 lamlendigheid ; lamlèndeghèt, lamlèndeghèj (mv lamlèndegheeje)
 lammeling ; lamlul
 lamp ; lèmke
 lamp ; laamp, (vkw lèmke)
 lampje ; lèm (p) ke
 land ; laand
 land, grond ; laand
 landloper, zwerver ; laandlôoper
 landweggetje, paadje ; pètje, paojke
 lang ; laank
 lange spijker ; tiendèùmer
 langpoot mug ; snip snap sneier
 langs ; nòst
 langs ; nèffe
 langs ; neeve
 langs ; langst
 langs ; vurbij
 langs, langsheen ; nèffenaaf
 langzaam ; zuutjesaon
 langzaam, traag, rustig ; lööj (kes)
 lans ; laans
 lantaarn ; lantèère
 lantaarnpaal ; lantèèrepaol
 lapje ; lèpke
 lapje stof ; koeponneke
 lappenmand ; foezelmaand
 lariks, lorkeboom (Larix) ; lòrrek
 last ; laast
 lastig ; laasteg
 lastig persoon, onhandelbaar iemand ; kèrhèngst
 latafel ; laojtòffel
 laten ; laote (tt lòt, vt liet)
 laten gaan ; laote gaon
 later, nadien ; laoter
 latje ; lètje
 laurierdrop ; sjèp
 lauw ; laaw
 lawaai, laweit ; lawèèt
 leden ; leeje
 leder, leer ; lèèr (vkw lèrke - leertje)
 lederen laarzen ; lèère lèèrze
 leed ; lêet
 leeftijd ; aauwer
 leeftijd, ouderdom, ouder ; aawer
 leeg ; lôos
 leegkieperen ; te heuj stôote
 leegmelken, uitmelken, tot het uiterste gaan ; ötmèlleke, èùtmèlleke
 leegschrapen ; ötschèère, èùtschèère
 leegte ; ligte
 leek, niet-deskundige; lêek
 leem ; lêem
 leemput ; lêemkööl
 leemputten ; lêemkèùle
 leertje, pakking ; lèrke
 leesplankje ; leesplèngske
 leeuw ; leuw (vkw luwke)
 leeuwerik ; leuwerik
 leeuwerik ; strontpikker
 leeuwin ; leuwin
 leeuwtje ; luwke
 lef ; hart
 lefhebben ; harthèbben
 lege flessen ; lêeggoet, lêeggoed
 legt ; leej
 lei ; laaj
 leiband, leidsel ; laajbaand
 leiboom ; laajbôom
 leiden, aan de hand nemen ; laaje
 leidingwater ; gemintepils
 leidse kaas, nagelkaas ; pitjeskèès
 leidsel ; lèèter
 leidsels ; laajsel
 lek ; lèk
 lekke band ; lèkke tuut
 lekkend ; lêekend
 lelijk ; lillik
 lelijk ; lillek
 lelijke deugniet, lelijkaard, plaaggeest ; lillekerd
 lelijkerd ; lillikert
 lenen ; lêene (tt lint, vt linde)
 lettertjes ; lètterkes
 leugenaar ; liegebist
 leugenaar, liegbeest ; leugebist
 leurder ; krèèmer
 leven ; lèève
 levend ; lèèvendeg
 levendig ; lèèvendeg
 levensdagen ; lèèvesdaoge
 levensgenieter, uitgaander ; toerlezjoerder
 levenslust ; zjeu, sjeu
 levensmiddelen, etenswaren ; eeteswaor
 lever ; lèèver
 libel ; glaozewaaser
 libel, waterjuffer (Odonata) ; snip snap snèèjer
 lichaam ; lichem
 lichaam ; lèèf
 lichaam, lijf ; flikker
 lichamelijk straffen (Fr: pénal) ; panaaste, penaarste
 lichamelijk straffen (Fr: pénal) ; penaarste, panaaste
 licht (niet zwaar) ; locht
 lichte heren (regen) jas (Fr: demi-saison) ; miezezon
 lichtjes slaan, aantikken ; titse
 lichtvaardig, allicht, makkelijk ; lichvèèrdeg
 lichtzinnig meisje ; floddergat
 lid ; lit
 liedje (s) ; lieke (s)
 lief meisje ; dölleke
 liefhebber, fokker ; prutter
 liggen, ziek of bedlegerig zijn ; ligge (tt leej, vt laag)
 ligt ; leej
 lijden ; lèèje (vt leej)
 lijf ; lèèf, (vkw lèfke)
 lijf, bast ; baast
 lijfje, kledingstuk, borstrokje ; lèfke
 lijk, dode ; lèèk
 lijken ; lèèke
 lijken op ; lèèke, gelèèke
 lijm ; lèèm
 Lijm ; Tui
 lijmen ; lèème
 lijmstokje ; lèèmpinneke
 lijn ; lèèn, (vkw lèntje)
 lijntje ; lèntje
 lijnzaad ; lizzent, lèèzent
 lijnzaad ; lèènzaod
 lijnzaadmeel ; lèèzentmèèl
 lijnzaadolie, lijnolie ; lèènollie
 lijst ; lèèst
 lijster (Turdus) ; lèster, lèèster
 lijster (Turdus) ; lèèster, lèster
 lijzig praten ; leutere
 lijzig, slepend ; lèèzeg
 likken, lekken ; lèkke
 limonade ; limmenaade
 limonade (siroop) ; limmenade
 lindeboom (Talia) ; lèndenbôom
 liniaal ; lienejaal
 links (voermannentaal) ; hòt
 linnen ; lènne
 linnengoed, lijnwaad ; lèènwaot
 linoleum ; zèèl
 lint, leidsel ; lènt (vkw lèntje)
 lintje ; lèntje
 lis, iris (Iris) ; lies
 litanie, reeks ; littenie
 locomotief ; lòkkemetief
 loeder ; loeter
 loeder ; loeder
 loeren op, azen op iets ; ööze, aoze
 logeren ; op un aander slaope
 lol ; kêet
 lol maken ; kêete
 lol, plezier ; leut
 lollig ; jèùneg
 lolly van gestolde stroop in een puntig papiertje ; stroopsoldòtje, strooptietje
 lomp ; vierkaanteg
 lompe vrouw, trage trut, trien ; dooka
 lomperik ; lomperd, loemperd
 lomperik ; klòssenbak
 lompheid ; lompeghèt, lompeghèd, lompeghèj, (mv lompegheeje)
 lonen ; lôone (tt lont, vt londe )
 lonken ; linke
 lood ; lôot
 loodgieter ; koperteut
 loods ; lots
 loof van wortelen ; peejlôof
 looien (van huiden) ; lôoje
 Loon op Zand ; Lôon
 loonzakje waarin geld werd achtergehouden ; smoorzèkske
 loopneus, snotneus ; snòtpin
 loops ; lups
 lopen ; dokkelen
 lopen ; aanlopen
 lopen ; lôope (tt lopt)
 lopen, weglopen, weggaan ; naaje
 lopend ; lôopes
 lopend, te voet ; billewaoge (meej den)
 los zand, drijfzand, leemachtig geel zand ; klapzaand
 loten (ww) ; lootere
 lubberen ; lèèpere
 lucht, luchtig ; locht
 luchtbellen ; broebels
 luchtig, lichtjes ; lochjes
 lucifer ; luusiefèr (mv luusiefèère)
 lucifer ; lèùzevèèr
 luidruchtig en / of lomp aan komen lopen, sloffen ; klòssebakke
 luidruchtige vrouw ; rètteketèt
 luidruchtige vrouw ; kwèèk
 luier ; luur
 luiers ; luure
 luik ; löök (vkw lökske)
 luikje ; lökske
 luilak ; looifakkedoelie
 luis ; piete
 luis ; löös, lèùs
 luis ; lèùs
 luisje ; löske
 luisteren ; löstere
 luistervink spelen, uithoren ; hèlôore, hèlheure
 lukken ; lukke
 lupine (Lupinus) ; lepiene
 lurken, zuigen, drinken ; lörreke
 lus ; lis (vkw liske)
 lusje ; liske
 lusten ; lusse
 luxe ; luuks
 maag ; maog (vkw mògske)
 maagje ; mògske
 maaksel ; mòksel
 maal, keer ; maol
 maaltijd ; mòltèèj, maoltèèj
 maaltijd ; maoltèèj, mòltèèj
 maaltijd ; maol, (vkw mòltje)
 maaltje (eten), portie, net genoeg voor één maaltijd ; mòltje
 maan ; maon (vkw mòntje)
 maand ; mònd
 maandag ; mòndag
 maandagmorgen ; mòndaggemèèrege
 maandagochtend ; smòndagsmèèreges
 maantje ; mòntje
 maar, slechts ; mar
 maart ; mèrt, mèèrt
 maart ; mèèrt, mèrt
 maasnaald ; maosnòld
 maat ; bruur
 maat, makker ; maot
 maatje, werkgezel, collega ; mòtje
 machine ; mesjien
 machine om de ketting mee te lijmen (textielind.) ; lèèmmesjien
 made ; maojke
 madeliefje ; meijzuuntje
 madeliefje (Bellis perennis) ; meezutje
 madeliefje (Bellis perennis) ; mèèjzuutje
 madeliefje (Bellis perennis) ; maajbluumke
 maden ; maoj
 mafkees ; attenberrie
 mafkees, idioot ; koekwaus
 mag ; meut
 mag ; maag
 magazijn ; maggezèèn
 mager ; maoger
 mager ; schraol
 magere slungel ; maogeren hannek
 maïs ; majs
 maitresse ; ònhaaw
 maken ; maoke (tt mòkt, vt mòkte)
 maker ; maoker
 makkelijk ; makkelek
 makkelijk, handig, moeiteloos ; hèndeg
 makkelijke manier om geld te verdienen ; rèèkmaokerèj
 malen ; maole, (tt mòlt, vt mòlde)
 man ; meens
 man ; pius
 manchester (geribbelde stof) ; törkslèèr
 manchester broek, ribfluwelen broek, pilobroek (Eng: pillow) ; pielòtbroek
 manchester stof ; mesjèster
 mand ; körf
 mand, korf ; maand (vkw mèndje)
 mand, korf ; körref
 mandje ; mèndje
 mandje ; benneke
 mandjes ; mèndjes
 manege ; meneezie
 manen (ww) ; maone, (tt mònt, vt mònde)
 maneschijn ; maoneschèèn
 manier ; menîêr
 mank, kreupel ; maank
 mankeren ; mekêere
 manlijke schaamstreek ; gemaacht
 mannen ; manskèèrels
 mannenloopster ; hollewaai
 mannetje ; boaske
 mans ; maans
 manspersoon ; manskèèrel
 mantel ; maantel
 mantelpak ; maantelpak
 marechaussee ; marsjeseej
 margarine ; kneut
 margarine ; kunsbotter, kneut
 margriet (Chrysanthemum leucanthemum) ; pinksterblom
 marie-koekje, biskwietje; mèèlemòp
 marie-koekjes, droge koekjes; mèèlemòppe
 markt ; mèrt
 markt op de eerste maandag van de maand ; mòndmèrt
 markt op de eerste maandag van februari ; kaawmèrt
 markt voor huishoudelijke artikelen, rommelmarkt ; pötjesmèrt
 marktkoopman ; mertmop
 marktkoopvrouw ; kwèèkwèèf, viswèèf
 marskramer, venter, koopman, kramer ; krèèmer
 marskramers, rondreizende kooplui ; teute
 masker ; mombakkes
 masker, mombakkes ; bombakkes
 massa ; maacht
 massa, hoop ; bèrzie
 mast (scheepsvaart) ; maast
 materiaal, gereedschap ; matteriejaol
 materie ; mattirrie
 matje ; mètje
 matras ; metras
 Mayonaise ; Masjenèès
 Mayonaise ; Maijenèès
 mazelen ; maozele
 mechanisch ; meekaanies
 medaille, erepenning ; medòllie
 medailles ; medòllies
 mededogen ; compassie
 medelijden ; meejelèèje
 medelijden ; kòmpassie
 medicijn ; middelsèèn
 mee ; meej
 mee omhoog zitten, gedupeerd, ontriefd ; gedallaast, afgespanne
 meegebracht ; meejgebròcht
 meel ; blom
 meel van beenderen om lijm te maken ; bindermèèl
 meelworm ; mèèlwörrem
 meelzak ; blombaol
 meelzolder ; mèèlzulder
 meen je dat ; mènde dè
 meer ; mir
 meer dan nodig ; onnut
 meer dan nodig ; schaojlek
 meer dan volgeladen ; afgelaoje vol
 meerijden, betrokken worden bij een tegenvaller ; meejrèèje
 meerkol, gaai (Garrulus glandarius) ; mèrkòl, mòrkòl
 meerkol, gaai (Garrulus glandarius) ; mòrkòl, mèrkòl
 meeroeien, meewerken, meeploeteren ; meejroeje
 meespelen ; meejspeule
 meestal ; mistentèèd
 meestal ; mistentè (è) ts
 meestal ; mistal
 meestal ; de misten tèèd
 meestentijds, meestal ; diksentèèj, diksentij, diksewèèle
 meester ; mister
 meester, schoolmeester, leraar ; mister
 meet, streep op de grond ; mitje
 meeuw ; meuw, (vkw muwke)
 meeuwtje ; muwke
 meevragen ; meejvraoge
 mei (maand) ; maaj
 meiboom ; maajbôom
 meid ; mèèd
 meikever ; mölderke
 meikever ; hegmölder
 meikever (Melolontha vulgaris) ; mölder
 meisje ; mèske, deurske
 meisje ; meske
 meisje ; mèèd
 meisje ; mèdje
 meisje ; durske, durreske
 meisje ; deurske
 meisje ; klèèn mèdje
 meisje puber ; giebergèèt
 meisje, jonge vrouw ; mòkkel (tje)
 melig ; jèùneg
 melig ; mèèleg
 melk ; mèllek
 melk ; rôome
 melk recht van de koe ; raawe mèlk
 melk-wittebrood; mèllekmik
 melk, karnemelk ; möllek
 melken (ww) ; mölleke
 melkgebit ; kalleftèndjes
 melodie ; milledie (vkw milledieke)
 menen, bedoelen ; mèène, (tt mènt, vt mènde)
 menens, serieus bedoeld, gemeend ; mèènes
 menigte ; mènnegte
 mens ; meens
 mens, man, vrouw ; meens
 mensen ; meense
 mensen ; vòlk
 mensenschuw ; meenseschaaw
 mensje ; meenske
 merel (Turdus merula) ; mèèrel
 merel (Turdus merula) ; gieteling
 merel (Turdus merula) ; mulder, mèèrel
 merg ; mèèreg
 mergpijp ; mèèregpèèp, (vkw mèèregpèpke)
 merkwaardig type ; vrèmde gaast
 mes ; mis
 mes en vork ; un mis en unne verket
 mesje ; miske
 mesje werpen (spel) ; miske steeke
 mest ; mist
 mesten (ww) ; miste
 mesthaak ; misthaok
 mesthoop, rommeltje ; misthôop (vkw misthupke)
 mestkar ; mistkèèr
 mestvaalt, mesthoop ; mistfòlt
 mestvork ; mistvörrek
 met ; meej
 met ; mee
 met afstand ; vèrèùt
 met centen zo dicht mogelijk bij de meet gooien of in het hoedje (spel) ; mitje steeke
 met hak aansporen ; kasse
 met het werk beginnen, aanvangen van de arbeid, een tocht onderbreken, drink;plas of eetpauze 
ònlègge;
 met je uitpuil ogen ; meej ouw schelvis ooghuh
 met kleine teugjes drinken ; sippen
 met korte rukjes trekken ; snukke
 met water aangelengde jenever ; gesneeje sneevel
 met water knoeien ; dabbe
 met zand bestrooien ; zaante
 metaal ; metaol
 meteen ; achtermekaare
 meteen ; impesaant
 meteen ; subiet / meepesaant
 meteen ; taine mekare
 meteen, onmiddellijk ; aachtermekaare
 meteen, onmiddellijk ; tèènemekaare
 metselaar ; mètselèèr
 Meude ; meuge, (maag, môog, gemeuge)
 mevrouw ; vrouwke
 miauwen (van de kat) ; maawe
 Middelbeers ; Bèèrs
 mietje ; mieke
 mij ; mèn
 mij, mijn, mijne, m'n ; mèn, mèèn, mènne, mun
 mijn ; mèn, mun
 mijn ; méén, mèn
 mijn echtgenoot ; mènne meens
 mijn eigen ; menèège
 mijn grootvader ; onze grutvadder
 mijn hoofd ; mune knûst
 mijn man (gezegd door de echtgenote) ; den onze
 mijn moeder ; smoeder
 mijn moeder ; s`moeder
 mijn vader ; ze pa
 mijn vingers ; mèn fikke
 mijn vrouw ; ons kee
 mijn vrouw ; ons keej
 mijn, mijne ; mun, munne
 mijnheer ; mister, mééns
 milieu, omgeving ; mieljeuj
 miljoen ; meljoen
 miljonair ; mieljoonèèr
 minder volk ; schèùm
 minderbroeder (orde franciscanen) ; minnebroeder
 minderwaardig ; lêeg
 mineraal water (zonder koolzuur) ; plàt waoter
 minuut ; menuut
 mis ; nèffe
 mis, mislukking ; frut
 misboek ; poaternoster
 misère (kaartspel) ; miezjèère
 miskleunen ; begaoje
 mislukking, fiasco ; fruttenbòl
 mislukking, waardeloos iets ; fiepo
 misschien ; somwèèle
 misschien ; meschient
 misschien ; seweille
 misschien ; sewèèle
 misschien, toevallig ; sewèèle
 misselijk ; ongaans
 misselijk ; kwèps
 missen, ontberen, verlegen zijn om ; verlèt hèbbe
 misser bij biljarten ; fròts
 misser tijdens het boogschieten ; graawe
 mist mest meest ; mist
 modder, slijk ; slèèk
 moe ; muug
 moe, loom ; lôom
 moe, vermoeid ; muug, (muuger, muugst -  moeër, moest)
 moeder ; mòj
 moeder ; moejer
 moedermelk ; et zòg
 moeilijker ; moejleker
 moeite, problemen ; stèlles
 moeizaam bewegen ; kraffele
 moeizaam met slepende tred lopen ; sjoefele
 moeizaam tegen de wind in lopen ; staawe
 moeizaam werken, wringen, ellebogenwerk verrichten ; vrêûke
 moeras ; moeraas
 moerasachtige grond ; môêr
 moerasweide ; paddewaajke
 moerbei ; moerbeezie
 Moergestel ; Gèèsel
 moesten wij ; moeseme
 moeten ; motten
 moeten (ww) ; motte (tt mot, vt mos)
 mogelijk ; meugelek
 mogelijkheid ; meugelekhèt, meugelekhèd, meugelekhèj, (mv meugelekheeje)
 molen ; meule
 molen met paardentractie ; rosmeule
 molenaar, mulder ; mölder
 molenpaard ; meulepèèrd, meulepèrd
 Molenschot ; Meuleschòt
 molletje ; mölleke
 molsla, plant v.d. paardenbloem (Taraxacum) ; mòlslaoj, gaanzetong
 mond ; meulen
 mond ; meule
 mond ; bèbbel, kwèbbel
 mond ; bèbbel
 mond ; smoel
 mond ; bèk
 mond ; bakkes
 mond ; trul
 mond dicht ; smoel hauwe
 mond dicht ; klep toe
 mond houden ; houdt oewe meul
 mond volproppen, snel eten ; goffere
" mond; klep; kloten; pet "; klèp
 mondig ; mundeg
 mondje ; mundje
 mondvol ; bakkesvol
 moogt ; meut
 mooi ; schier
 mooi ; schier
 mooi ; schon
 mooi aangekleed, opvallend opgemaakt, eigen zin gedaan ; òngemontôêrd
 mooi, knap, fraai ; schôon
 mooie ; schôon
 mooie vent ; wenne gozer eg!!!
 mooie vrouw ; lèkker wèèf
 mooier ; schonder
 mooipraterij ; pestoorspraot
 mooist ; schonst
 mooiste ; schonste
 mopje ; möpke
 morgen ; mèèrege
 morgen ; drölleke drie
 morsdood ; kaajdôod
 morsen ; kwaansele
 motregen ; mòtrèège
 motregenen ; zêevere
 mouw ; maaw
 muil ; mööl (vkw möltje)
 muiltje ; möltje
 muis ; mèùs
 muis ; möös (vkw möske), mèùs (vkw mèùske)
 muisarm ; mösèèrem, mèùsèèrem
 muisje ; möske
 muisstil ; mèùsstil
 muizennest ; mèùzenist
 muizentarwe (vergif voor muizen) ; möözetèèref
 multitasken ; praote en braaje tegelèèk
 munten, geld (figuurlijk) ; peejschèève, knaake
 murmelen, mopperen ; mörmele
 murw, zacht, week ; mörref
 mutsje, kalotje (Fr: calotte) ; klòtje
 muurbloemen (Cheiranthus of Erisimum cheiri) ; teejblomme
 muurtje ; muurke
 muziektent, kiosk ; kiejòs
 muzikaal ; muuziekaol
 na ; nao, nò
 na zonsondergang ; nò den donkeren
 na, achter ; nò, nao
 naad ; naot, (mv naoj (er), vkw naojke, nòtje)
 naadje ; nòtje
 naaien ; naoje
 naaien ; naaje
 naaimachine ; naojmesjien
 naakt ; naks
 naakt, bloot ; nòkt, naoke (n) d
 naakt, bloot ; naoke (n) d, nòkt
 naald ; nòld, naold
 naam ; naom
 naar ; nòr, naor
 naar ; naor
 naar ; noar
 naar ; naor, nòr
 naar / vervelend ; aoreg
 naar bed, in bed ; te bèd
 naar de fabriek ; nòr et febriek
 naar de markt gaan, markten (ww) ; mèrte
 naar links ; hòt
 naar rechts ; hèr
 naar voren ; nòr veure
 naast ; nòst
 naast ; nèffe
 naast ; neeve
 naast ; langst
 naaste, dichtstbijzijnde ; nòste, naoste
 nablijven ; nòblèève, naoblèève
 nabootsen, nadoen ; âachternaodoen, naodoen
 nacht ; naacht
 nachtbraker ; naachtööl, naachtèùl
 nachtzwaluw (Caprimulgus europaeus) ; gèètemèlker
 nadat ; nòdè, naodè
 nadeel ; nòdêel, naodêel
 nadeel ; schaoj
 nadenken ; prakkezeren
 nadenken ; prakkeseren
 naderhand ; nòdderaand, naodderaand
 nagaan ; nògaon, naogaon
 nagaan ; naogaon, nògaon
 nagalm ; naokwallem
 nagel ; naogel
 najaar ; nòjaor, naojaor
 nakend, naakt, onbedekt, bloot ; naokend
 nakomertje ; schèèrkuukske
 nakomertje ; nòzaojke, naozaojke
 nare zaak, vervelende kwestie ; plöjerèèj
 nasmaak ; nòsmaok
 natuur ; netuur
 natuurlijk ; netûurlek
 nauwe doorgang ; pèèp
 nauwelijks, amper ; aamper
 nauwkeurig werk ; fèèn wèèrk
 nauwkeurig, precies ; persies
 nauwkeurig, precies, eng, nauw ; naaw
 navel ; naogelböök, naogelbèùk
 navel ; naovel
 navenant, naar verhouding ; nòvvenaant (Fr:à l'avenant)
 navrant, schrijnend ; nòvraant
 nazeuren ; nòknaawe, naoknaawe
 nee ; nè, neej
 nee ; neuj
 nee ; nê
 nee ; nèè
 nee dat is niet waar ; néh nie néh
 nee dat niet dat ; né dé nie dé
 nee hoor ; nêeje
 nee vriend ; nèè knoppert
 neef (Fr: cousin) ; kezèèn
 neer ; nir, tenir
 neer, omlaag ; teneer
 neerkomen ; nirkoome
 neerleggen ; nirlègge
 neersmijten, neergooien ; nirklètse
 neertellen, betalen ; nirtèlle
 neervallen ; nirvalle
 neerzetten ; nirplòtse
 neerzetten ; nirzètte
 nemen ; neeme, (nimt, naam, genoome)
 nemen, pakken ; vatte, (vat, viet, gevat)
 nep muntje ; blekke mientje
 nep muntje ; blekke mientje.
 nerf ; nèèref
 nergens ; nievraans
 nergens ; nèrgaand
 nergens ; nèrgeraand
 nergens ; nèrgeraans
 nergens ; nieveraand
 nerveus persoon ; zeemellap
 nerveus, zenuwachtig ; zeemelèèchtig
 nest ; nist
 nestje ; nisje
 net pas ; sjuust
 netjes, schoon, zuiver, goed verzorgd ; prôoper
 nette ; goejen
 neus ; snufferd
 neus ; praaj
 neusje ; nuske
 neuspeuteren ; zitte gij piere te vange??
 neven ; nòst
 neven ; nèffe
 neven ; neeve
 niemand ; gin meens
 niemand ; niemes
 niemand ; geniemand
 niesen ; hatsjieje
 niet ; nie
 niet ; nie
 niet bekwaam ; onbekwaom
 niet eens ; gineens
 niet gering ; ginne prut
 niet gering, niet mis ; nie prut
 niet getrouwde schoonfamilie ; òngewaajd
 niet goed ziende man ; schèle kiep
 niet helder voor de ogen zijn ; schiemere
 niet kunnen besluiten (spec, bij kaartspel) ; rikraoje
 niet meer ; niemir, niemer
 niet naar huis gaan ; plèkke
 niet veel ; niefel
 niet veel goeds, mis ; prut
 niets ; niks
 niets bijzonders doen ; den aop vlôoje
 niets dan ; ènkeld, ènkelt
 niets, mis ; laawloene
 nieuw ; nuu, nuut, nuuw
 nieuw ; nuuw
 nieuw ; nuut
 nieuwjaar ; nuu (w) jaor
 nieuws ; nuus
 nieuwsgierig ; nuuschiereg
 node ; nôoj
 nodig, van node ; nôodeg
 nogal ; rèùm
 nogal klein ; rèùm klèèn
 nogal wat ; hil wè
 non, zuster ; sèùr
 nonchalant, slordig, achteloos ; nonsjelaant
 nonnetje, zuster ; nunneke
 noodbed ; kèrmesbed
 nooit ; nôot, nôot nie
 noord (en) ; nord (e)
 noorderling, iemand van boven de rivieren ; boovemoerdèkse
 nootje ; nutje
 nopijzer (textiel) ; nòpèèzer
 nopje ; nöpke
 notaris ; nootaares
 noten uit de boom kloppen ; noote bosse
 nou ; naaw, naa
 nou ; naa, naaw
 nou en of ; as de verrèkkenis
 november ; noovèmber
 nu ; naaw, naa
 nu ; naa, naaw
 nu ; teegesworreg
 nu en dan ; meejèndan
 nu meteen ; achter mekaar
 nulletje ; nulleke
 nummer, maat ; noemer
 nylonkousen, nylons ; sjaanskouse
 O jee! ; och jikkres
 och arme toch ; òchòd
 och arme toch ; òcheer
 ocharm ; òchèèrem
 ocharme ; ochéérum
 ochtend ; mèèrege
 Oerle ; Oel
 oever ; waoterkaant
 of ; ofdè
 of dat ; ofdè
 ogen ; ôge
 ogen ; ôoge
 ogen ; kèkers, oogûh
 ogen sluiten ; oew lèùke toedoen
 ogenblik, moment ; ôogenblik
 oh ; ôo
 oh jee! ; òcheer
 oh jee!, och God ; òchòd, òchòt
 Oirschot ; Orschòt
 Oisterwijk ; Osterwèèk
 oktober ; òktoober
 olie ; ollie
 olie ; ullie
 oliebollen ; olliebòlle
 oliemolen ; olliemeule
 oliën, smeren ; ollieje
 olifant ; olliefaant
 Om de andere dag ; Om denaanderste dag
 oma ; ons grutje
 oma ; grutje
 Oma ; zoma
